City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,prado,-17.3411,-39.2208,298.61,74,51,6.2,BR,1698609050
235,okny,47.5404,29.46,287.19,51,7,3.64,UA,1698609050
236,massenya,11.4039,16.1705,303.98,37,0,1.72,TD,1698609051
237,san antonio de pale,-1.4014,5.6325,299.74,82,7,3.96,GQ,1698609052
238,xichang,27.8964,102.2634,287.46,80,64,0.85,CN,1698609052
239,mount gambier,-37.8333,140.7667,284.08,90,71,3.91,AU,1698609053
240,kalmunai,7.4167,81.8167,298.68,82,100,2.33,LK,1698609053
241,cova figueira,14.8905,-24.2934,296.31,74,52,4.71,CV,1698609054
242,nampula,-15.1165,39.2666,296.5,67,0,3.08,MZ,1698608835
243,inverloch,-38.6333,145.7167,284.27,89,100,4.31,AU,1698609055
244,goya,-29.14,-59.2626,306.61,42,0,3.64,AR,1698609056
245,petrozavodsk,61.7849,34.3469,269.85,96,28,4.0,RU,1698609056
246,mount pearl,47.5166,-52.7813,280.55,67,75,11.32,CA,1698609057
247,mugia,43.1041,-9.2179,286.02,72,100,9.2,ES,1698609058
248,nizhnyaya tavda,57.6731,66.1725,269.23,80,100,5.83,RU,1698609059
249,kailua-kona,19.6406,-155.9956,301.21,76,40,3.09,US,1698609059
250,igaci,-9.5369,-36.6336,299.7,53,46,6.24,BR,1698609060
251,berezovyy,51.6667,135.7,271.38,77,68,0.23,RU,1698609061
252,moree,-29.4667,149.85,289.37,59,0,6.15,AU,1698609061
253,nemuro,43.3236,145.575,282.79,71,29,4.35,JP,1698609062
254,labytnangi,66.6572,66.4183,259.4,98,99,1.5,RU,1698609063
255,dursunbey,39.586,28.6257,288.22,86,84,1.13,TR,1698609063
256,lampazos de naranjo,27.0167,-100.5167,304.31,47,63,1.98,MX,1698609064
257,labasa,-16.4167,179.3833,300.68,74,45,2.39,FJ,1698609064
258,patong,7.8961,98.2966,302.6,76,100,0.94,TH,1698609065
259,punta arenas,-53.15,-70.9167,282.21,49,40,7.2,CL,1698609066
260,vila velha,-20.3297,-40.2925,301.12,74,0,9.77,BR,1698609066
261,new norfolk,-42.7826,147.0587,286.44,67,99,4.2,AU,1698609067
262,pacific grove,36.6177,-121.9166,295.59,25,0,7.6,US,1698608777
263,sao felix do xingu,-6.6447,-51.995,305.17,40,100,0.11,BR,1698609068
264,baie-comeau,49.2168,-68.1489,274.97,55,100,5.66,CA,1698609069
265,polyarnyy,69.1989,33.4478,266.66,90,100,1.94,RU,1698609069
266,enewetak,11.3474,162.3373,301.93,76,68,8.6,MH,1698609070
267,val-d'or,48.1002,-77.7828,276.2,56,75,3.09,CA,1698609071
268,purwakarta,-6.5569,107.4433,298.15,69,86,1.5,ID,1698609071
269,inyonga,-6.7167,32.0667,294.99,66,71,3.05,TZ,1698609073
270,nchelenge,-9.3451,28.734,295.71,74,100,3.34,ZM,1698609074
271,saint-philippe,-21.3585,55.7679,297.92,87,53,4.82,RE,1698609075
272,greymouth,-42.4667,171.2,284.22,57,85,1.99,NZ,1698609075
273,bamendjou,5.3888,10.3316,289.51,91,97,0.74,CM,1698609076
274,arzgir,45.3728,44.2206,287.35,51,33,3.24,RU,1698609077
275,vila franca do campo,37.7167,-25.4333,288.38,99,53,3.86,PT,1698609078
276,dudinka,69.4058,86.1778,256.3,98,72,1.79,RU,1698609078
277,ocean city,39.2776,-74.5746,294.16,80,72,3.58,US,1698609080
278,arteche,12.2645,125.4048,298.96,89,100,4.1,PH,1698609081
279,acarau,-2.8856,-40.12,301.46,63,23,8.59,BR,1698608829
280,kyzyl-mazhalyk,51.1333,90.6,268.1,42,96,0.89,RU,1698609082
281,nelson bay,-32.7167,152.15,288.76,93,5,2.24,AU,1698609082
282,lucapa,-8.4192,20.7447,295.34,75,1,1.46,AO,1698609083
283,heunghae,36.1125,129.3522,284.61,82,61,2.29,KR,1698609084
284,inongo,-1.95,18.2667,297.76,80,29,2.05,CD,1698609084
285,hirara,24.8,125.2833,295.3,83,75,2.57,JP,1698609085
286,kasulu,-4.5767,30.1025,292.05,82,100,1.25,TZ,1698609086
287,chimore,-16.9833,-65.1333,305.51,52,85,2.3,BO,1698609086
288,fuxin,42.0156,121.6589,284.84,39,100,2.5,CN,1698609087
289,harar,9.3094,42.1258,289.32,88,94,0.52,ET,1698609088
290,alaghsas,17.0187,8.0168,302.1,9,0,5.33,NE,1698609088
